Time - soundlvl	Amplitude - soundlvl	Unnamed: 2	Unnamed: 3	Frequency (Hz) - soundlvl (Power Spectrum)	Amplitude - soundlvl (Power Spectrum)
0.00715	1.36178			715.0	1.3306e-05
0.0072	1.33117			720.0	1.34415e-05
0.00725	1.29036			725.0	2.88231e-06
0.0073	1.38474			730.0	6.99007e-06
0.00735	1.39494			735.0	5.77757e-06
0.0074	1.37453			740.0	2.02152e-05
0.00745	1.32607			745.0	8.60938e-06
0.0075	1.35158			750.0	6.67352e-06
0.00755	1.36178			755.0	4.40388e-05
0.0076	1.35158			760.0	3.10581e-05
0.00765	1.32352			765.0	7.56393e-06
0.0077	1.39494			770.0	1.06839e-05
0.00775	1.38729			775.0	1.79879e-05
0.0078	1.31842			780.0	2.01642e-05
0.00785	1.32352			785.0	1.67804e-05
0.0079	1.4077			790.0	1.7842e-05
0.00795	1.51228			795.0	7.22976e-06
0.008	1.45616			800.0	5.6325e-06
0.00805	1.38219			805.0	1.44914e-07
0.0081	1.39239			810.0	2.40046e-07
0.00815	1.49442			815.0	5.53361e-06
0.0082	1.48422			820.0	1.46833e-07
0.00825	1.4128			825.0	3.28444e-07
0.0083	1.35668			830.0	3.64531e-06
0.00835	1.34648			835.0	9.2525e-06
0.0084	1.4077			840.0	8.02159e-06
0.00845	1.47657			845.0	1.12452e-06
0.0085	1.4281			850.0	1.17979e-06
0.00855	1.35158			855.0	5.8095e-07
0.0086	1.39494			860.0	2.47162e-06
0.00865	1.4077			865.0	3.31399e-06
0.0087	1.37964			870.0	2.18277e-06
0.00875	1.38984			875.0	7.87066e-07
0.0088	1.39749			880.0	1.60105e-07
0.00885	1.34393			885.0	1.22992e-08
0.0089	1.32097			890.0	1.30207e-07
0.00895	1.40514			895.0	3.43512e-07
0.009	1.33372			900.0	1.32237e-07
0.00905	1.2572			905.0	4.93434e-07
0.0091	1.35158			910.0	5.31298e-07
0.00915	1.35158			915.0	6.05474e-07
0.0092	1.35923			920.0	6.83605e-07
0.00925	1.2623			925.0	4.92439e-07
0.0093	1.30056			930.0	2.63603e-08
0.00935	1.34648			935.0	7.49458e-07
0.0094	1.35158			940.0	3.36639e-07
0.00945	1.423			945.0	4.25705e-07
0.0095	1.46126			950.0	8.02954e-07
0.00955	1.37964			955.0	7.45344e-07
0.0096	1.30056			960.0	3.63849e-07
0.00965	1.31332			965.0	6.47818e-08
0.0097	1.48167			970.0	2.03448e-08
0.00975	1.48932			975.0	1.80038e-06
0.0098	1.40004			980.0	2.51931e-06
0.00985	1.31076			985.0	2.11525e-06
0.0099	1.28271			990.0	1.29593e-06
0.00995	1.34903			995.0	2.49557e-07
0.01	1.4332			1000.0	3.44486e-07
0.01005	1.41535			1005.0	1.06994e-06
0.0101	1.31332			1010.0	1.2119e-06
0.01015	1.31332			1015.0	3.41196e-07
0.0102	1.45106			1020.0	2.2695e-07
0.01025	1.44596			1025.0	9.36767e-07
0.0103	1.32607			1030.0	4.20588e-08
0.01035	1.24699			1035.0	6.45552e-08
0.0104	1.33117			1040.0	4.88727e-07
0.01045	1.41025			1045.0	6.40434e-07
0.0105	1.41025			1050.0	1.27003e-07
0.01055	1.31076			1055.0	7.03527e-07
0.0106	1.28271			1060.0	9.03506e-07
0.01065	1.30311			1065.0	2.6807e-07
0.0107	1.39494			1070.0	9.17087e-07
0.01075	1.4383			1075.0	1.12309e-06
0.0108	1.33882			1080.0	2.29874e-07
0.01085	1.35158			1085.0	2.75474e-07
0.0109	1.36433			1090.0	3.66541e-07
0.01095	1.4179			1095.0	3.96014e-07
0.011	1.43065			1100.0	1.1699e-06
0.01105	1.45871			1105.0	7.37052e-07
0.0111	1.49952			1110.0	2.61256e-07
0.01115	1.44341			1115.0	8.84972e-07
0.0112	1.32862			1120.0	1.32497e-06
0.01125	1.41025			1125.0	1.4091e-06
0.0113	1.51483			1130.0	4.78227e-07
0.01135	1.61941			1135.0	3.00193e-07
0.0114	1.55054			1140.0	4.60242e-07
0.01145	1.36943			1145.0	1.3621e-07
0.0115	1.33117			1150.0	2.26022e-07
0.01155	1.33882			1155.0	6.71718e-07
0.0116	1.44341			1160.0	9.63486e-07
0.01165	1.423			1165.0	7.17202e-07
0.0117	1.37709			1170.0	1.40527e-06
0.01175	1.38474			1175.0	2.83913e-07
0.0118	1.45616			1180.0	1.17199e-06
0.01185	1.48932			1185.0	1.43198e-06
0.0119	1.29291			1190.0	3.29252e-07
0.01195	1.24444			1195.0	4.45045e-07
0.012	1.32352			1200.0	8.24551e-07
0.01205	1.31076			1205.0	5.7358e-07
0.0121	1.4128			1210.0	7.67805e-07
0.01215	1.38984			1215.0	2.9954e-06
0.0122	1.21639			1220.0	1.81633e-05
0.01225	1.20108			1225.0	7.86036e-06
0.0123	1.21383			1230.0	1.9427e-06
0.01235	1.25975			1235.0	1.16931e-05
0.0124	1.2521			1240.0	3.46925e-05
0.01245	1.32862			1245.0	2.00204e-05
0.0125	1.36943			1250.0	2.52313e-05
0.01255	1.32352			1255.0	4.54817e-05
0.0126	1.34903			1260.0	4.66058e-05
