Time - soundlvl	Amplitude - soundlvl	Unnamed: 2	Unnamed: 3	Frequency (Hz) - soundlvl (Power Spectrum)	Amplitude - soundlvl (Power Spectrum)
0.0071	1.37709			710.0	9.90091e-07
0.00715	1.36688			715.0	3.20997e-07
0.0072	1.37198			720.0	1.825e-06
0.00725	1.38474			725.0	2.83348e-06
0.0073	1.38474			730.0	2.22501e-06
0.00735	1.39239			735.0	1.89693e-06
0.0074	1.37198			740.0	3.13768e-06
0.00745	1.36433			745.0	8.55936e-06
0.0075	1.38219			750.0	1.83876e-05
0.00755	1.37964			755.0	1.67991e-05
0.0076	1.36688			760.0	5.63338e-06
0.00765	1.38984			765.0	5.41522e-07
0.0077	1.39494			770.0	7.6858e-07
0.00775	1.37198			775.0	4.73852e-07
0.0078	1.37198			780.0	3.86486e-07
0.00785	1.38219			785.0	4.0974e-07
0.0079	1.37453			790.0	2.51721e-06
0.00795	1.37964			795.0	2.15738e-06
0.008	1.38729			800.0	1.01447e-06
0.00805	1.38474			805.0	3.49478e-06
0.0081	1.37453			810.0	1.18855e-06
0.00815	1.39239			815.0	8.44972e-09
0.0082	1.40514			820.0	4.75443e-07
0.00825	1.39749			825.0	2.70304e-07
0.0083	1.38984			830.0	1.65567e-07
0.00835	1.37198			835.0	1.00589e-06
0.0084	1.37453			840.0	1.08143e-06
0.00845	1.38219			845.0	5.33455e-07
0.0085	1.40004			850.0	3.21861e-07
0.00855	1.4128			855.0	1.85763e-07
0.0086	1.4179			860.0	2.5188e-07
0.00865	1.423			865.0	2.61778e-07
0.0087	1.4281			870.0	5.7738e-08
0.00875	1.39239			875.0	1.04317e-07
0.0088	1.40259			880.0	7.72709e-08
0.00885	1.41025			885.0	4.44202e-08
0.0089	1.41535			890.0	3.72573e-07
0.00895	1.39749			895.0	1.67881e-07
0.009	1.38729			900.0	1.80466e-08
0.00905	1.39239			905.0	2.03223e-08
0.0091	1.42555			910.0	6.20913e-08
0.00915	1.4332			915.0	2.43974e-07
0.0092	1.4128			920.0	6.79769e-08
0.00925	1.39494			925.0	1.97738e-07
0.0093	1.36943			930.0	5.57969e-07
0.00935	1.38474			935.0	2.93837e-07
0.0094	1.40514			940.0	1.10574e-07
0.00945	1.42555			945.0	1.85049e-07
0.0095	1.40259			950.0	2.07119e-07
0.00955	1.39239			955.0	3.90234e-07
0.0096	1.39494			960.0	3.23758e-08
0.00965	1.39239			965.0	1.68202e-07
0.0097	1.38474			970.0	2.13298e-07
0.00975	1.38729			975.0	8.76391e-08
0.0098	1.38474			980.0	5.64165e-08
0.00985	1.37964			985.0	2.03104e-07
0.0099	1.39749			990.0	1.49335e-07
0.00995	1.40004			995.0	3.16679e-08
0.01	1.37964			1000.0	1.73188e-08
0.01005	1.35923			1005.0	7.78147e-08
0.0101	1.36178			1010.0	8.01511e-08
0.01015	1.37198			1015.0	1.86735e-07
0.0102	1.40004			1020.0	4.60112e-07
0.01025	1.40514			1025.0	2.63473e-07
0.0103	1.37198			1030.0	6.48232e-08
0.01035	1.34648			1035.0	4.53102e-08
0.0104	1.34393			1040.0	1.43278e-08
0.01045	1.34903			1045.0	5.48622e-08
0.0105	1.35923			1050.0	3.74349e-08
0.01055	1.38729			1055.0	4.87558e-08
0.0106	1.39494			1060.0	1.6688e-07
0.01065	1.37453			1065.0	5.87279e-08
0.0107	1.36688			1070.0	1.65832e-07
0.01075	1.35923			1075.0	1.53332e-06
0.0108	1.36433			1080.0	1.47975e-06
0.01085	1.35923			1085.0	1.36895e-07
0.0109	1.37198			1090.0	5.30413e-07
0.01095	1.36943			1095.0	3.19139e-07
0.011	1.38474			1100.0	1.96053e-07
0.01105	1.37709			1105.0	8.59293e-08
0.0111	1.37453			1110.0	8.2691e-08
0.01115	1.38474			1115.0	2.59608e-08
0.0112	1.37709			1120.0	8.45294e-08
0.01125	1.37964			1125.0	5.58133e-08
0.0113	1.40514			1130.0	1.19356e-08
0.01135	1.4128			1135.0	1.31829e-08
0.0114	1.40514			1140.0	1.94971e-09
0.01145	1.40259			1145.0	2.49427e-09
0.0115	1.4128			1150.0	3.35742e-08
0.01155	1.423			1155.0	2.16628e-07
0.0116	1.423			1160.0	1.52283e-07
0.01165	1.4332			1165.0	5.74918e-08
0.0117	1.42045			1170.0	8.31848e-08
0.01175	1.40514			1175.0	2.64182e-07
0.0118	1.40514			1180.0	2.54521e-07
0.01185	1.42045			1185.0	2.97485e-07
0.0119	1.41535			1190.0	3.1189e-07
0.01195	1.40004			1195.0	1.72894e-07
0.012	1.41025			1200.0	7.75533e-08
0.01205	1.43575			1205.0	2.97358e-08
0.0121	1.423			1210.0	4.17255e-09
0.01215	1.41535			1215.0	3.42226e-08
0.0122	1.42045			1220.0	2.25286e-07
0.01225	1.39749			1225.0	4.13327e-07
0.0123	1.40004			1230.0	8.36562e-09
0.01235	1.42045			1235.0	1.04845e-08
0.0124	1.4332			1240.0	4.33411e-08
0.01245	1.40004			1245.0	1.52207e-07
0.0125	1.39749			1250.0	2.97739e-07
0.01255	1.43575			1255.0	5.75175e-07
0.0126	1.41025			1260.0	4.46876e-07
0.01265	1.37198			1265.0	2.80612e-08
0.0127	1.36943			1270.0	1.46971e-07
0.01275	1.38219			1275.0	2.3455e-07
0.0128	1.40004			1280.0	2.25723e-07
0.01285	1.4128			1285.0	1.78592e-07
0.0129	1.39239			1290.0	2.51394e-07
0.01295	1.36433			1295.0	6.71476e-07
0.013	1.33627			1300.0	1.27977e-06
0.01305	1.33372			1305.0	1.26626e-06
0.0131	1.34903			1310.0	1.04922e-06
0.01315	1.36688			1315.0	4.72085e-07
0.0132	1.36688			1320.0	1.1991e-07
0.01325	1.36433			1325.0	2.79174e-09
0.0133	1.36688			1330.0	2.17581e-07
0.01335	1.37453			1335.0	4.23605e-07
0.0134	1.35923			1340.0	1.11214e-06
0.01345	1.35413			1345.0	1.85022e-06
0.0135	1.33882			1350.0	1.09234e-06
0.01355	1.34137			1355.0	3.04019e-07
0.0136	1.40004			1360.0	2.89867e-08
0.01365	1.4179			1365.0	6.25206e-08
0.0137	1.38474			1370.0	3.03464e-07
0.01375	1.34648			1375.0	1.19253e-07
0.0138	1.34648			1380.0	2.85394e-08
0.01385	1.36688			1385.0	2.61271e-07
0.0139	1.40514			1390.0	5.68816e-07
0.01395	1.44086			1395.0	2.49507e-07
0.014	1.41535			1400.0	2.50161e-07
0.01405	1.39494			1405.0	2.01074e-07
0.0141	1.39494			1410.0	4.64499e-08
0.01415	1.40004			1415.0	1.0193e-08
0.0142	1.40514			1420.0	1.20212e-07
0.01425	1.4128			1425.0	6.23938e-08
0.0143	1.4128			1430.0	1.49644e-08
0.01435	1.41535			1435.0	4.50441e-08
0.0144	1.4128			1440.0	2.23548e-08
0.01445	1.4077			1445.0	5.83254e-08
0.0145	1.38984			1450.0	1.03797e-07
0.01455	1.38219			1455.0	1.08172e-07
0.0146	1.39239			1460.0	1.42904e-07
0.01465	1.4077			1465.0	5.50235e-08
0.0147	1.40514			1470.0	1.13667e-08
0.01475	1.4332			1475.0	7.23624e-08
0.0148	1.41535			1480.0	1.9539e-07
0.01485	1.39239			1485.0	1.16694e-07
0.0149	1.37964			1490.0	1.89512e-07
0.01495	1.40514			1495.0	1.263e-07
0.015	1.40004			1500.0	1.36216e-07
0.01505	1.4128			1505.0	1.10759e-07
0.0151	1.41025			1510.0	5.68845e-08
0.01515	1.41535			1515.0	6.57706e-08
0.0152	1.4128			1520.0	9.52147e-08
0.01525	1.38984			1525.0	5.08243e-08
0.0153	1.39239			1530.0	1.47385e-08
0.01535	1.41025			1535.0	2.35914e-08
0.0154	1.4128			1540.0	8.3238e-08
0.01545	1.39239			1545.0	2.81806e-08
0.0155	1.41535			1550.0	5.28684e-09
0.01555	1.4128			1555.0	2.48829e-08
0.0156	1.39239			1560.0	3.35314e-08
0.01565	1.38729			1565.0	7.57491e-08
0.0157	1.37198			1570.0	5.55786e-08
0.01575	1.39494			1575.0	9.77582e-09
0.0158	1.4128			1580.0	3.15483e-07
0.01585	1.4077			1585.0	2.3205e-07
0.0159	1.37964			1590.0	1.07015e-08
0.01595	1.36943			1595.0	8.62893e-08
0.016	1.39494			1600.0	2.6144e-08
0.01605	1.38474			1605.0	5.95241e-08
0.0161	1.37198			1610.0	6.5675e-08
0.01615	1.40259			1615.0	3.75489e-08
0.0162	1.39749			1620.0	3.17413e-10
0.01625	1.37709			1625.0	8.79376e-09
0.0163	1.37453			1630.0	7.79408e-08
0.01635	1.39494			1635.0	7.77046e-08
0.0164	1.38729			1640.0	1.0703e-07
0.01645	1.38219			1645.0	1.71337e-07
0.0165	1.37198			1650.0	1.82589e-07
0.01655	1.36178			1655.0	2.13646e-07
0.0166	1.36178			1660.0	3.29612e-07
0.01665	1.36178			1665.0	6.11878e-07
0.0167	1.37453			1670.0	3.8121e-07
0.01675	1.37198			1675.0	1.7131e-07
0.0168	1.38984			1680.0	6.34744e-08
0.01685	1.40004			1685.0	3.17525e-09
0.0169	1.39494			1690.0	2.16268e-08
0.01695	1.36943			1695.0	3.73844e-08
0.017	1.39494			1700.0	8.36412e-09
0.01705	1.39749			1705.0	6.33074e-08
0.0171	1.38984			1710.0	2.54277e-07
0.01715	1.39494			1715.0	1.89045e-07
0.0172	1.39239			1720.0	1.94009e-08
0.01725	1.39749			1725.0	1.0853e-08
0.0173	1.40259			1730.0	7.37163e-08
0.01735	1.40259			1735.0	1.85871e-07
0.0174	1.39494			1740.0	3.01874e-07
0.01745	1.37964			1745.0	1.86413e-07
0.0175	1.40514			1750.0	3.79222e-08
0.01755	1.43575			1755.0	8.61176e-08
0.0176	1.40004			1760.0	1.14959e-07
0.01765	1.37964			1765.0	1.97764e-07
0.0177	1.38984			1770.0	1.33804e-07
0.01775	1.40259			1775.0	2.36486e-07
0.0178	1.40514			1780.0	3.24428e-07
0.01785	1.40514			1785.0	1.11195e-07
0.0179	1.4077			1790.0	9.70448e-08
0.01795	1.38219			1795.0	8.70152e-08
0.018	1.36433			1800.0	1.5266e-07
0.01805	1.38729			1805.0	1.36553e-07
0.0181	1.4077			1810.0	7.2796e-08
0.01815	1.37964			1815.0	3.51106e-07
0.0182	1.36178			1820.0	3.32778e-07
0.01825	1.36433			1825.0	4.33571e-07
0.0183	1.37198			1830.0	3.42979e-07
0.01835	1.37709			1835.0	4.14675e-08
0.0184	1.39494			1840.0	1.1621e-08
0.01845	1.39494			1845.0	1.03416e-07
0.0185	1.36433			1850.0	4.25513e-09
0.01855	1.38474			1855.0	9.95766e-08
0.0186	1.37964			1860.0	8.20369e-08
0.01865	1.37709			1865.0	9.79207e-09
0.0187	1.39749			1870.0	1.90653e-07
0.01875	1.40514			1875.0	1.55294e-06
0.0188	1.40004			1880.0	2.22096e-06
0.01885	1.41535			1885.0	2.11385e-06
0.0189	1.4077			1890.0	1.52861e-06
0.01895	1.40259			1895.0	7.19233e-07
0.019	1.38984			1900.0	4.20665e-07
0.01905	1.38219			1905.0	2.0177e-07
0.0191	1.39749			1910.0	3.44151e-07
