Time - soundlvl	Amplitude - soundlvl	Unnamed: 2	Unnamed: 3	Frequency (Hz) - soundlvl (Power Spectrum)	Amplitude - soundlvl (Power Spectrum)
0.00715	1.28526			715.0	1.30754e-06
0.0072	1.33117			720.0	2.81969e-06
0.00725	1.33372			725.0	7.01151e-06
0.0073	1.31076			730.0	6.73961e-06
0.00735	1.31332			735.0	6.52676e-06
0.0074	1.38474			740.0	6.87455e-06
0.00745	1.40259			745.0	1.17459e-05
0.0075	1.40514			750.0	3.58922e-05
0.00755	1.38984			755.0	0.000137947
0.0076	1.35158			760.0	0.000211169
0.00765	1.35158			765.0	0.000158163
0.0077	1.36688			770.0	0.000149979
0.00775	1.4128			775.0	0.000126909
0.0078	1.4332			780.0	0.000174015
0.00785	1.38474			785.0	0.000102714
0.0079	1.38474			790.0	3.78287e-05
0.00795	1.42555			795.0	2.14441e-05
0.008	1.40004			800.0	1.15375e-05
0.00805	1.39494			805.0	4.01438e-06
0.0081	1.42555			810.0	6.45057e-06
0.00815	1.45361			815.0	6.42309e-06
0.0082	1.4332			820.0	1.54006e-07
0.00825	1.42555			825.0	9.27762e-07
0.0083	1.43575			830.0	1.68248e-06
0.00835	1.38474			835.0	6.15869e-07
0.0084	1.37198			840.0	3.30212e-07
0.00845	1.41025			845.0	2.0288e-07
0.0085	1.42555			850.0	3.71002e-07
0.00855	1.43575			855.0	2.75456e-07
0.0086	1.42555			860.0	4.09672e-07
0.00865	1.42555			865.0	5.78503e-07
0.0087	1.37198			870.0	2.36947e-07
0.00875	1.39239			875.0	1.00701e-07
0.0088	1.4281			880.0	1.90609e-07
0.00885	1.41535			885.0	2.62651e-07
0.0089	1.37964			890.0	1.69635e-07
0.00895	1.41025			895.0	4.73681e-08
0.009	1.4128			900.0	2.15725e-09
0.00905	1.40004			905.0	3.10418e-09
0.0091	1.34137			910.0	4.93971e-08
0.00915	1.32862			915.0	1.04433e-08
0.0092	1.31332			920.0	5.44006e-08
0.00925	1.34648			925.0	1.19965e-07
0.0093	1.38474			930.0	1.01394e-07
0.00935	1.36943			935.0	3.98343e-08
0.0094	1.32862			940.0	2.73183e-08
0.00945	1.33117			945.0	1.03913e-07
0.0095	1.32607			950.0	6.79868e-09
0.00955	1.31332			955.0	7.58172e-08
0.0096	1.38474			960.0	3.17906e-07
0.00965	1.44596			965.0	6.90193e-07
0.0097	1.41535			970.0	8.35913e-07
0.00975	1.37709			975.0	4.19961e-07
0.0098	1.42555			980.0	6.08877e-07
0.00985	1.44086			985.0	5.20822e-07
0.0099	1.45616			990.0	3.44954e-07
0.00995	1.47146			995.0	1.81968e-06
0.01	1.49952			1000.0	2.10106e-06
0.01005	1.49697			1005.0	3.35911e-06
0.0101	1.54289			1010.0	8.21775e-06
0.01015	1.51993			1015.0	1.50793e-05
0.0102	1.44851			1020.0	1.44309e-05
0.01025	1.40514			1025.0	1.13639e-05
0.0103	1.44851			1030.0	8.25624e-06
0.01035	1.45361			1035.0	5.76737e-06
0.0104	1.47146			1040.0	1.53959e-06
0.01045	1.45616			1045.0	9.87593e-07
0.0105	1.42555			1050.0	2.43426e-07
0.01055	1.37453			1055.0	3.41808e-07
0.0106	1.34393			1060.0	2.64337e-07
0.01065	1.32607			1065.0	2.86936e-07
0.0107	1.34137			1070.0	5.12184e-07
0.01075	1.34648			1075.0	3.86678e-07
0.0108	1.35923			1080.0	1.16315e-07
0.01085	1.32352			1085.0	1.28497e-07
0.0109	1.30056			1090.0	8.70336e-07
0.01095	1.28781			1095.0	8.75416e-07
0.011	1.2776			1100.0	3.83622e-07
0.01105	1.26995			1105.0	4.19712e-07
0.0111	1.31587			1110.0	1.50455e-07
0.01115	1.37453			1115.0	3.66178e-08
0.0112	1.37709			1120.0	9.43017e-08
0.01125	1.35668			1125.0	5.08051e-08
0.0113	1.32097			1130.0	1.08418e-07
0.01135	1.31332			1135.0	1.50689e-07
0.0114	1.37453			1140.0	2.3288e-08
0.01145	1.4128			1145.0	1.20313e-07
0.0115	1.37453			1150.0	3.41745e-07
0.01155	1.37964			1155.0	8.2881e-09
0.0116	1.4128			1160.0	3.37428e-08
0.01165	1.39239			1165.0	1.33436e-07
0.0117	1.37198			1170.0	3.76737e-07
0.01175	1.35413			1175.0	2.4308e-07
0.0118	1.36943			1180.0	8.34117e-08
0.01185	1.38474			1185.0	7.90181e-08
0.0119	1.37964			1190.0	1.90957e-08
0.01195	1.39494			1195.0	5.60948e-08
0.012	1.37453			1200.0	6.24492e-08
0.01205	1.36178			1205.0	3.53179e-07
0.0121	1.34137			1210.0	8.73153e-07
0.01215	1.34137			1215.0	1.1211e-06
0.0122	1.39239			1220.0	3.81663e-07
0.01225	1.43575			1225.0	2.40606e-07
0.0123	1.43065			1230.0	1.45664e-08
0.01235	1.4077			1235.0	2.1184e-07
0.0124	1.37198			1240.0	4.24743e-07
0.01245	1.4077			1245.0	1.07116e-06
0.0125	1.423			1250.0	5.87408e-07
0.01255	1.4128			1255.0	7.53053e-07
0.0126	1.43065			1260.0	9.88341e-07
0.01265	1.45616			1265.0	3.4963e-08
0.0127	1.39494			1270.0	1.98016e-07
0.01275	1.45106			1275.0	5.31759e-07
0.0128	1.44086			1280.0	6.36286e-07
0.01285	1.42045			1285.0	2.46354e-07
0.0129	1.40514			1290.0	1.66489e-07
0.01295	1.40514			1295.0	6.35703e-07
0.013	1.37453			1300.0	2.65484e-07
0.01305	1.43575			1305.0	1.30741e-08
0.0131	1.43065			1310.0	4.00312e-08
0.01315	1.40514			1315.0	2.48516e-07
0.0132	1.37453			1320.0	1.40517e-07
0.01325	1.35158			1325.0	3.79998e-07
0.0133	1.4179			1330.0	6.05813e-07
0.01335	1.45361			1335.0	1.86746e-08
0.0134	1.39239			1340.0	2.70444e-07
0.01345	1.39749			1345.0	6.22963e-08
0.0135	1.40004			1350.0	2.86472e-07
0.01355	1.37709			1355.0	1.39076e-07
0.0136	1.44086			1360.0	1.83915e-07
0.01365	1.43575			1365.0	6.68576e-08
0.0137	1.42555			1370.0	3.30625e-08
0.01375	1.43575			1375.0	1.95244e-07
0.0138	1.45106			1380.0	9.42263e-08
0.01385	1.45616			1385.0	1.07376e-07
0.0139	1.44341			1390.0	9.90552e-08
0.01395	1.4128			1395.0	2.39798e-08
0.014	1.40514			1400.0	1.76611e-09
0.01405	1.36943			1405.0	7.50912e-08
0.0141	1.40514			1410.0	2.71303e-07
0.01415	1.44851			1415.0	1.2638e-07
0.0142	1.47657			1420.0	9.16285e-09
0.01425	1.39494			1425.0	5.85717e-08
0.0143	1.29801			1430.0	9.44211e-08
0.01435	1.28526			1435.0	2.05017e-07
0.0144	1.32862			1440.0	1.41683e-07
0.01445	1.37453			1445.0	1.74827e-07
0.0145	1.38474			1450.0	5.28007e-08
0.01455	1.35413			1455.0	1.38169e-07
0.0146	1.30056			1460.0	3.67414e-07
0.01465	1.30566			1465.0	1.18802e-07
0.0147	1.36433			1470.0	2.31308e-08
0.01475	1.31587			1475.0	1.27833e-07
0.0148	1.32097			1480.0	1.02796e-07
0.01485	1.37964			1485.0	4.64553e-08
0.0149	1.38219			1490.0	2.22903e-07
0.01495	1.34393			1495.0	1.70365e-07
0.015	1.36943			1500.0	2.10623e-07
0.01505	1.35923			1505.0	2.54332e-07
0.0151	1.33372			1510.0	2.99542e-07
0.01515	1.38729			1515.0	3.07683e-07
0.0152	1.39749			1520.0	1.42521e-07
0.01525	1.36688			1525.0	1.53432e-07
0.0153	1.37964			1530.0	9.81643e-08
0.01535	1.40004			1535.0	4.38317e-07
0.0154	1.38219			1540.0	1.31557e-06
0.01545	1.37964			1545.0	1.06389e-06
0.0155	1.38219			1550.0	8.04059e-07
0.01555	1.4128			1555.0	1.63926e-07
0.0156	1.4077			1560.0	1.44669e-07
0.01565	1.36433			1565.0	2.38425e-08
0.0157	1.39239			1570.0	2.27387e-08
0.01575	1.40259			1575.0	4.03996e-08
0.0158	1.36178			1580.0	4.79088e-08
0.01585	1.34393			1585.0	8.95381e-08
0.0159	1.37453			1590.0	2.48082e-08
0.01595	1.42045			1595.0	1.16764e-07
0.016	1.4179			1600.0	2.49047e-08
0.01605	1.39239			1605.0	1.38551e-07
0.0161	1.36433			1610.0	5.59605e-09
0.01615	1.38474			1615.0	8.19459e-08
0.0162	1.41025			1620.0	4.10769e-08
