Time - piezo	Amplitude - piezo	Unnamed: 2	Unnamed: 3	Frequency [Hz] - piezo (Power Spectrum)	Amplitude - piezo (Power Spectrum)
0.00665	0.00440605			665.0	1.5424e-07
0.0067	0.00440605			670.0	1.18048e-07
0.00675	0.00568023			675.0	4.32537e-08
0.0068	0.00440605			680.0	1.28385e-07
0.00685	-0.00323902			685.0	2.24048e-07
0.0069	0.0018577			690.0	9.39839e-08
0.00695	0.000583518			695.0	5.38408e-08
0.007	-0.00323902			700.0	2.02413e-08
0.00705	-0.00196484			705.0	1.91083e-08
0.0071	0.00440605			710.0	1.83379e-09
0.00715	0.00313188			715.0	1.64497e-08
0.0072	0.00313188			720.0	1.31672e-08
0.00725	0.00568023			725.0	5.50777e-08
0.0073	0.00950277			730.0	7.09238e-08
0.00735	0.00822859			735.0	5.78898e-08
0.0074	0.00822859			740.0	1.78308e-08
0.00745	0.00950277			745.0	5.49212e-09
0.0075	0.0120511			750.0	3.31733e-08
0.00755	0.018422			755.0	1.28378e-07
0.0076	0.0171478			760.0	1.45561e-07
0.00765	0.0120511			765.0	5.2966e-08
0.0077	0.0133253			770.0	1.68887e-08
0.00775	0.018422			775.0	2.00324e-09
0.0078	0.0222446			780.0	7.04979e-09
0.00785	0.0260671			785.0	6.00728e-09
0.0079	0.0247929			790.0	4.032e-09
0.00795	0.0196962			795.0	3.72354e-08
0.008	0.0247929			800.0	5.21017e-08
0.00805	0.0286154			805.0	6.32476e-08
0.0081	0.0235187			810.0	8.11834e-08
0.00815	0.0222446			815.0	2.48526e-08
0.0082	0.0247929			820.0	1.1257e-08
0.00825	0.0222446			825.0	5.51453e-08
0.0083	0.0209704			830.0	7.41358e-08
0.00835	0.0196962			835.0	4.85558e-08
0.0084	0.018422			840.0	1.05763e-08
0.00845	0.0158737			845.0	7.19102e-09
0.0085	0.0145995			850.0	2.47724e-08
0.00855	0.0145995			855.0	1.67427e-08
0.0086	0.0107769			860.0	1.02628e-09
0.00865	0.00695441			865.0	6.06755e-09
0.0087	0.00822859			870.0	1.65585e-08
0.00875	0.00440605			875.0	9.38927e-09
0.0088	0.000583518			880.0	2.35725e-09
0.00885	0.000583518			885.0	3.86316e-09
0.0089	-0.00196484			890.0	8.14616e-09
0.00895	-0.00578737			895.0	9.58598e-09
0.009	-0.00706155			900.0	7.83044e-09
0.00905	-0.00706155			905.0	4.70346e-09
0.0091	-0.00706155			910.0	4.61901e-10
0.00915	-0.00833573			915.0	3.05266e-09
0.0092	-0.0134324			920.0	1.59392e-08
0.00925	-0.0108841			925.0	9.53109e-09
0.0093	-0.0134324			930.0	2.86776e-09
0.00935	-0.0121583			935.0	1.27908e-08
0.0094	-0.00960991			940.0	1.90048e-08
0.00945	-0.00706155			945.0	4.64193e-09
0.0095	-0.0045132			950.0	1.46544e-08
0.00955	-0.00706155			955.0	6.13244e-09
0.0096	-0.00706155			960.0	9.45695e-09
0.00965	-0.0045132			965.0	7.53696e-09
0.0097	-0.00196484			970.0	5.47166e-09
0.00975	0.00568023			975.0	7.30182e-08
0.0098	0.0018577			980.0	1.80854e-07
0.00985	-0.0045132			985.0	2.36878e-07
0.0099	0.000583518			990.0	2.01781e-07
0.00995	0.00695441			995.0	7.06918e-08
0.01	0.00568023			1000.0	4.51853e-08
0.01005	-0.00196484			1005.0	8.29853e-08
0.0101	-0.00196484			1010.0	3.84502e-08
0.01015	-0.00196484			1015.0	5.99431e-08
0.0102	-0.00196484			1020.0	1.11206e-07
0.01025	-0.00833573			1025.0	2.85351e-08
0.0103	-0.00833573			1030.0	4.54448e-09
0.01035	-0.0121583			1035.0	1.17599e-08
0.0104	-0.0159808			1040.0	1.02009e-09
0.01045	-0.017255			1045.0	4.52853e-09
0.0105	-0.0185292			1050.0	1.63105e-08
0.01055	-0.0236259			1055.0	9.31426e-09
0.0106	-0.0274484			1060.0	5.92195e-10
0.01065	-0.0261742			1065.0	4.03736e-10
0.0107	-0.0223517			1070.0	4.6918e-09
0.01075	-0.0325451			1075.0	7.15033e-09
0.0108	-0.0338193			1080.0	1.41785e-10
0.01085	-0.0274484			1085.0	1.3983e-09
0.0109	-0.0338193			1090.0	5.73644e-10
0.01095	-0.0376418			1095.0	4.61759e-10
0.011	-0.0325451			1100.0	3.12575e-09
0.01105	-0.0274484			1105.0	1.43419e-10
0.0111	-0.0287226			1110.0	1.03205e-08
0.01115	-0.0312709			1115.0	1.93843e-08
0.0112	-0.0287226			1120.0	2.00213e-08
0.01125	-0.0236259			1125.0	7.85263e-09
0.0113	-0.0261742			1130.0	7.05685e-10
0.01135	-0.0236259			1135.0	1.09511e-10
0.0114	-0.0147066			1140.0	2.88286e-09
0.01145	-0.0121583			1145.0	6.71044e-09
0.0115	-0.0121583			1150.0	9.20747e-10
0.01155	-0.00706155			1155.0	2.36991e-09
0.0116	-0.00069066			1160.0	1.94512e-09
0.01165	-0.00069066			1165.0	1.31274e-09
0.0117	-0.00196484			1170.0	5.02703e-09
0.01175	0.00313188			1175.0	8.75782e-09
0.0118	0.0133253			1180.0	2.82822e-09
0.01185	0.0171478			1185.0	1.012e-09
0.0119	0.0133253			1190.0	1.84836e-09
0.01195	0.0133253			1195.0	7.17154e-10
0.012	0.0171478			1200.0	1.82172e-09
0.01205	0.0209704			1205.0	3.84566e-09
0.0121	0.0209704			1210.0	2.42825e-11
0.01215	0.0171478			1215.0	1.63513e-09
0.0122	0.0196962			1220.0	1.30526e-09
0.01225	0.0222446			1225.0	1.48329e-10
0.0123	0.0222446			1230.0	9.1699e-11
0.01235	0.0158737			1235.0	9.0563e-11
0.0124	0.0158737			1240.0	2.31939e-09
0.01245	0.0171478			1245.0	4.70058e-09
0.0125	0.0120511			1250.0	6.75614e-10
0.01255	0.00695441			1255.0	2.14593e-08
0.0126	0.0120511			1260.0	6.40056e-09
0.01265	0.0107769			1265.0	5.24506e-09
0.0127	0.00313188			1270.0	4.35727e-09
0.01275	0.00440605			1275.0	7.05724e-09
0.0128	0.00568023			1280.0	6.00713e-09
0.01285	0.00313188			1285.0	1.37475e-09
0.0129	0.00313188			1290.0	4.21291e-10
0.01295	0.00440605			1295.0	9.21474e-10
0.013	0.00313188			1300.0	4.79994e-11
0.01305	0.000583518			1305.0	1.86442e-09
0.0131	-0.00196484			1310.0	2.63009e-09
